;;;;;;Time;Utility
Dataset;k;QIs;Iterations;Round;QualityModel;Value;Value
ADULT;5;9;50;0;LOSS;5450.0;0.7296212378705822
ADULT;5;9;50;1;LOSS;5113.0;0.7296212378705822
ADULT;5;9;50;2;LOSS;4776.0;0.7296212378705822
ADULT;5;9;50;3;LOSS;4886.0;0.7296212378705822
ADULT;5;9;50;4;LOSS;4438.0;0.7296212378705822
ADULT;5;9;50;5;LOSS;4311.0;0.7296212378705822
ADULT;5;9;50;6;LOSS;4234.0;0.7296212378705822
ADULT;5;9;50;7;LOSS;4203.0;0.7296212378705822
ADULT;5;9;50;8;LOSS;4112.0;0.7296212378705822
ADULT;5;9;50;9;LOSS;3977.0;0.7296212378705822
CUP;5;8;50;0;LOSS;49162.0;0.8529162148271839
CUP;5;8;50;1;LOSS;45403.0;0.8529162148271839
CUP;5;8;50;2;LOSS;43674.0;0.8529162148271839
CUP;5;8;50;3;LOSS;56247.0;0.8529162148271839
CUP;5;8;50;4;LOSS;46551.0;0.8529162148271839
CUP;5;8;50;5;LOSS;47529.0;0.8529162148271839
CUP;5;8;50;6;LOSS;50950.0;0.8529162148271839
CUP;5;8;50;7;LOSS;48837.0;0.8529162148271839
CUP;5;8;50;8;LOSS;51828.0;0.8529162148271839
CUP;5;8;50;9;LOSS;56118.0;0.8529162148271839
FARS;5;8;50;0;LOSS;11777.0;0.8376062287127768
FARS;5;8;50;1;LOSS;11741.0;0.8376062287127768
FARS;5;8;50;2;LOSS;12266.0;0.8376062287127768
FARS;5;8;50;3;LOSS;12910.0;0.8376062287127768
FARS;5;8;50;4;LOSS;12690.0;0.8376062287127768
FARS;5;8;50;5;LOSS;14158.0;0.8376062287127768
FARS;5;8;50;6;LOSS;14790.0;0.8376062287127768
FARS;5;8;50;7;LOSS;15265.0;0.8376062287127768
FARS;5;8;50;8;LOSS;16491.0;0.8376062287127768
FARS;5;8;50;9;LOSS;14938.0;0.8376062287127768
ATUS;5;9;50;0;LOSS;11066.0;0.9000490313023302
ATUS;5;9;50;1;LOSS;9999.0;0.9000490313023302
ATUS;5;9;50;2;LOSS;11285.0;0.9000490313023302
ATUS;5;9;50;3;LOSS;10220.0;0.9000490313023302
ATUS;5;9;50;4;LOSS;11166.0;0.9000490313023302
ATUS;5;9;50;5;LOSS;12105.0;0.9000490313023302
ATUS;5;9;50;6;LOSS;12116.0;0.9000490313023302
ATUS;5;9;50;7;LOSS;11553.0;0.9000490313023302
ATUS;5;9;50;8;LOSS;11298.0;0.9000490313023302
ATUS;5;9;50;9;LOSS;11077.0;0.9000490313023302
IHIS;5;9;50;0;LOSS;160990.0;0.8209660559122881
IHIS;5;9;50;1;LOSS;169871.0;0.8209660559122881
IHIS;5;9;50;2;LOSS;158775.0;0.8209660559122881
IHIS;5;9;50;3;LOSS;159674.0;0.8209660559122881
IHIS;5;9;50;4;LOSS;169142.0;0.8209660559122881
IHIS;5;9;50;5;LOSS;168485.0;0.8209660559122881
IHIS;5;9;50;6;LOSS;172360.0;0.8209660559122881
IHIS;5;9;50;7;LOSS;185391.0;0.8209660559122881
IHIS;5;9;50;8;LOSS;170373.0;0.8209660559122881
IHIS;5;9;50;9;LOSS;167442.0;0.8209660559122881
