;;;;;;Time;Utility
Dataset;k;QIs;Iterations;Round;QualityModel;Value;Value
ADULT;5;9;50;0;LOSS;718.0;0.7296212378705822
ADULT;5;9;50;1;LOSS;669.0;0.7296212378705822
ADULT;5;9;50;2;LOSS;710.0;0.7296212378705822
ADULT;5;9;50;3;LOSS;684.0;0.7296212378705822
ADULT;5;9;50;4;LOSS;634.0;0.7296212378705822
ADULT;5;9;50;5;LOSS;654.0;0.7296212378705822
ADULT;5;9;50;6;LOSS;570.0;0.7296212378705822
ADULT;5;9;50;7;LOSS;595.0;0.7296212378705822
ADULT;5;9;50;8;LOSS;667.0;0.7296212378705822
ADULT;5;9;50;9;LOSS;597.0;0.7296212378705822
CUP;5;8;50;0;LOSS;4060.0;0.8529162148271839
CUP;5;8;50;1;LOSS;3801.0;0.8529162148271839
CUP;5;8;50;2;LOSS;4139.0;0.8529162148271839
CUP;5;8;50;3;LOSS;4390.0;0.8529162148271839
CUP;5;8;50;4;LOSS;5066.0;0.8529162148271839
CUP;5;8;50;5;LOSS;5608.0;0.8529162148271839
CUP;5;8;50;6;LOSS;4711.0;0.8529162148271839
CUP;5;8;50;7;LOSS;5517.0;0.8529162148271839
CUP;5;8;50;8;LOSS;4445.0;0.8529162148271839
CUP;5;8;50;9;LOSS;4449.0;0.8529162148271839
FARS;5;8;50;0;LOSS;2201.0;0.8376062287127768
FARS;5;8;50;1;LOSS;2316.0;0.8376062287127768
FARS;5;8;50;2;LOSS;2371.0;0.8376062287127768
FARS;5;8;50;3;LOSS;2010.0;0.8376062287127768
FARS;5;8;50;4;LOSS;2228.0;0.8376062287127768
FARS;5;8;50;5;LOSS;2419.0;0.8376062287127768
FARS;5;8;50;6;LOSS;2152.0;0.8376062287127768
FARS;5;8;50;7;LOSS;2590.0;0.8376062287127768
FARS;5;8;50;8;LOSS;2155.0;0.8376062287127768
FARS;5;8;50;9;LOSS;2389.0;0.8376062287127768
ATUS;5;9;50;0;LOSS;9075.0;0.9000490313023302
ATUS;5;9;50;1;LOSS;9281.0;0.9000490313023302
ATUS;5;9;50;2;LOSS;8189.0;0.9000490313023302
ATUS;5;9;50;3;LOSS;10707.0;0.9000490313023302
ATUS;5;9;50;4;LOSS;11579.0;0.9000490313023302
ATUS;5;9;50;5;LOSS;9939.0;0.9000490313023302
ATUS;5;9;50;6;LOSS;8141.0;0.9000490313023302
ATUS;5;9;50;7;LOSS;10706.0;0.9000490313023302
ATUS;5;9;50;8;LOSS;11024.0;0.9000490313023302
ATUS;5;9;50;9;LOSS;8953.0;0.9000490313023302
IHIS;5;9;50;0;LOSS;34753.0;0.8209660559122881
IHIS;5;9;50;1;LOSS;32818.0;0.8209660559122881
IHIS;5;9;50;2;LOSS;32777.0;0.8209660559122881
IHIS;5;9;50;3;LOSS;33925.0;0.8209660559122881
IHIS;5;9;50;4;LOSS;36960.0;0.8209660559122881
IHIS;5;9;50;5;LOSS;34116.0;0.8209660559122881
IHIS;5;9;50;6;LOSS;33774.0;0.8209660559122881
IHIS;5;9;50;7;LOSS;39936.0;0.8209660559122881
IHIS;5;9;50;8;LOSS;38867.0;0.8209660559122881
IHIS;5;9;50;9;LOSS;35973.0;0.8209660559122881
