;;;;;;Time;Utility
Dataset;k;QIs;Iterations;Round;QualityModel;Value;Value
ADULT;5;9;200;0;LOSS;903.0;0.7296212378705822
ADULT;5;9;200;1;LOSS;857.0;0.7296212378705822
ADULT;5;9;200;2;LOSS;800.0;0.7296212378705822
ADULT;5;9;200;3;LOSS;826.0;0.7296212378705822
ADULT;5;9;200;4;LOSS;803.0;0.7296212378705822
ADULT;5;9;200;5;LOSS;821.0;0.7296212378705822
ADULT;5;9;200;6;LOSS;853.0;0.7296212378705822
ADULT;5;9;200;7;LOSS;807.0;0.7296212378705822
ADULT;5;9;200;8;LOSS;783.0;0.7296212378705822
ADULT;5;9;200;9;LOSS;803.0;0.7296212378705822
CUP;5;8;200;0;LOSS;1109.0;0.8290352975058
CUP;5;8;200;1;LOSS;1100.0;0.7800040268131185
CUP;5;8;200;2;LOSS;1096.0;0.792098836560451
CUP;5;8;200;3;LOSS;1094.0;0.7907574384008805
CUP;5;8;200;4;LOSS;1105.0;0.8276130939512314
CUP;5;8;200;5;LOSS;1092.0;0.7419661655916059
CUP;5;8;200;6;LOSS;1091.0;0.8131344001956661
CUP;5;8;200;7;LOSS;1094.0;0.7774291461235567
CUP;5;8;200;8;LOSS;1092.0;0.7852718733239953
CUP;5;8;200;9;LOSS;1094.0;0.77410618186247
FARS;5;8;200;0;LOSS;1021.0;0.819326475045685
FARS;5;8;200;1;LOSS;1016.0;0.8376062287127768
FARS;5;8;200;2;LOSS;1018.0;0.8376062287127768
FARS;5;8;200;3;LOSS;1021.0;0.8293147839321758
FARS;5;8;200;4;LOSS;1016.0;0.8376062287127768
FARS;5;8;200;5;LOSS;1016.0;0.8325929664923152
FARS;5;8;200;6;LOSS;1016.0;0.8325929664923152
FARS;5;8;200;7;LOSS;1018.0;0.8325929664923152
FARS;5;8;200;8;LOSS;1017.0;0.8247940637347807
FARS;5;8;200;9;LOSS;1019.0;0.8325929664923152
ATUS;5;9;200;0;LOSS;1105.0;0.8019146290698066
ATUS;5;9;200;1;LOSS;1099.0;0.843465823995118
ATUS;5;9;200;2;LOSS;1125.0;0.8553133429105534
ATUS;5;9;200;3;LOSS;1091.0;0.8095708472009592
ATUS;5;9;200;4;LOSS;1085.0;0.7948594875477375
ATUS;5;9;200;5;LOSS;1094.0;0.8418332167755792
ATUS;5;9;200;6;LOSS;1081.0;0.858546261338578
ATUS;5;9;200;7;LOSS;1118.0;0.8357918508071429
ATUS;5;9;200;8;LOSS;1103.0;0.7917373676283055
ATUS;5;9;200;9;LOSS;1104.0;0.7863402890405456
IHIS;5;9;200;0;LOSS;1226.0;0.7886922058219271
IHIS;5;9;200;1;LOSS;1197.0;0.752983119163275
IHIS;5;9;200;2;LOSS;1189.0;0.7123306957826261
IHIS;5;9;200;3;LOSS;1207.0;0.7577747153294433
IHIS;5;9;200;4;LOSS;1238.0;0.7659423611215657
IHIS;5;9;200;5;LOSS;1196.0;0.7959271983188794
IHIS;5;9;200;6;LOSS;1210.0;0.6991669633562863
IHIS;5;9;200;7;LOSS;1256.0;0.8008668520762903
IHIS;5;9;200;8;LOSS;1265.0;0.8019924437242142
IHIS;5;9;200;9;LOSS;1222.0;0.7930493033955759
