;;;;;;Time;Utility
Dataset;k;QIs;Algorithm;Quality;Transformation;Value;Value
ADULT;2;9;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;3713.0;0.9488393839601141
ADULT;2;9;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;3713.0;0.9056496101080586
ADULT;3;9;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;5538.0;0.8684799589315327
ADULT;3;9;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;5538.0;0.925360501774217
ADULT;5;9;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;7753.0;0.8296254368434797
ADULT;5;9;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;7753.0;0.8988432868654981
ADULT;10;9;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;13260.0;0.8653948069385885
ADULT;10;9;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;13260.0;0.7842117160275571
ADULT;5;1;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;437.0;1.0
ADULT;5;1;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;437.0;1.0
ADULT;5;2;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;515.0;0.9999225358801123
ADULT;5;2;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;515.0;0.9999550373190252
ADULT;5;3;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;531.0;0.9970366459376543
ADULT;5;3;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;531.0;0.9978775192347927
ADULT;5;4;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;561.0;0.9943432178564519
ADULT;5;4;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;561.0;0.9915624247904203
ADULT;5;5;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;780.0;0.9793866848091823
ADULT;5;5;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;780.0;0.9667936469725906
ADULT;5;6;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;1060.0;0.9383501826825656
ADULT;5;6;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;1060.0;0.9614589007285557
ADULT;5;7;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;1701.0;0.9108602913024538
ADULT;5;7;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;1701.0;0.945753106631459
ADULT;5;8;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;4664.0;0.8486974321253091
ADULT;5;8;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;4664.0;0.9014295892640667
ADULT;5;9;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;8954.0;0.8296254368434797
ADULT;5;9;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;8954.0;0.8988432868654981
ADULT;2;9;ARX;SSE;LOCAL_GENERALIZATION;4899.0;0.9484684089569254
ADULT;2;9;ARX;LOSS;LOCAL_GENERALIZATION;4899.0;0.9774544871540618
ADULT;3;9;ARX;LOSS;LOCAL_GENERALIZATION;7847.0;0.9596030757757799
ADULT;3;9;ARX;SSE;LOCAL_GENERALIZATION;7847.0;0.9164708941487345
ADULT;5;9;ARX;SSE;LOCAL_GENERALIZATION;11404.0;0.8781673349244241
ADULT;5;9;ARX;LOSS;LOCAL_GENERALIZATION;11404.0;0.9339907950216473
ADULT;10;9;ARX;LOSS;LOCAL_GENERALIZATION;16006.0;0.8976780184128224
ADULT;10;9;ARX;SSE;LOCAL_GENERALIZATION;16006.0;0.8274281566495238
ADULT;5;1;ARX;LOSS;LOCAL_GENERALIZATION;499.0;1.0
ADULT;5;1;ARX;SSE;LOCAL_GENERALIZATION;499.0;1.0
ADULT;5;2;ARX;LOSS;LOCAL_GENERALIZATION;546.0;0.9999804707547281
ADULT;5;2;ARX;SSE;LOCAL_GENERALIZATION;546.0;0.9999612679400561
ADULT;5;3;ARX;SSE;LOCAL_GENERALIZATION;562.0;0.997530275079512
ADULT;5;3;ARX;LOSS;LOCAL_GENERALIZATION;562.0;0.9981238299484155
ADULT;5;4;ARX;LOSS;LOCAL_GENERALIZATION;655.0;0.9950963427627796
ADULT;5;4;ARX;SSE;LOCAL_GENERALIZATION;655.0;0.9927535595369714
ADULT;5;5;ARX;LOSS;LOCAL_GENERALIZATION;1046.0;0.985193283514076
ADULT;5;5;ARX;SSE;LOCAL_GENERALIZATION;1046.0;0.974852189234783
ADULT;5;6;ARX;SSE;LOCAL_GENERALIZATION;1436.0;0.955168930578463
ADULT;5;6;ARX;LOSS;LOCAL_GENERALIZATION;1436.0;0.9732751437518969
ADULT;5;7;ARX;LOSS;LOCAL_GENERALIZATION;2262.0;0.9638041459138679
ADULT;5;7;ARX;SSE;LOCAL_GENERALIZATION;2262.0;0.9361306191393775
ADULT;5;8;ARX;SSE;LOCAL_GENERALIZATION;6318.0;0.8906805269704822
ADULT;5;8;ARX;LOSS;LOCAL_GENERALIZATION;6318.0;0.9352117451868167
ADULT;5;9;ARX;SSE;LOCAL_GENERALIZATION;10281.0;0.8781673349244241
ADULT;5;9;ARX;LOSS;LOCAL_GENERALIZATION;10281.0;0.9339907950216473
CUP;2;8;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;77814.0;0.853318284070094
CUP;2;8;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;77814.0;0.9173533273829777
CUP;3;8;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;71667.0;0.9027984618915107
CUP;3;8;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;71667.0;0.8402777405162912
CUP;5;8;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;70075.0;0.8250704923692207
CUP;5;8;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;70075.0;0.8892600815448773
CUP;10;8;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;91541.0;0.811745120678016
CUP;10;8;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;91541.0;0.8718506812886029
CUP;5;1;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;998.0;0.9825099073391901
CUP;5;1;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;998.0;0.9765805584243068
CUP;5;2;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;1295.0;0.9620424198430323
CUP;5;2;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;1295.0;0.9409868854575427
CUP;5;3;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;1420.0;0.9622787678837048
CUP;5;3;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;1420.0;0.9689728338989849
CUP;5;4;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;2247.0;0.9628804329468194
CUP;5;4;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;2247.0;0.9514658848746756
CUP;5;5;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;2761.0;0.9454297366740771
CUP;5;5;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;2761.0;0.9594973043481494
CUP;5;6;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;5366.0;0.9332085151026026
CUP;5;6;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;5366.0;0.8208444688770125
CUP;5;7;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;16941.0;0.7931355414569969
CUP;5;7;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;16941.0;0.8958611169365047
CUP;5;8;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;69343.0;0.8250704923692207
CUP;5;8;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;69343.0;0.8892600815448773
CUP;2;8;ARX;LOSS;LOCAL_GENERALIZATION;96954.0;0.9865556826753451
CUP;2;8;ARX;SSE;LOCAL_GENERALIZATION;96954.0;0.9838464412905783
CUP;3;8;ARX;LOSS;LOCAL_GENERALIZATION;91495.0;0.9784318410073533
CUP;3;8;ARX;SSE;LOCAL_GENERALIZATION;91495.0;0.9775366957796243
CUP;5;8;ARX;SSE;LOCAL_GENERALIZATION;87329.0;0.9696765737938832
CUP;5;8;ARX;LOSS;LOCAL_GENERALIZATION;87329.0;0.9697232929716546
CUP;10;8;ARX;LOSS;LOCAL_GENERALIZATION;110651.0;0.9535320198258708
CUP;10;8;ARX;SSE;LOCAL_GENERALIZATION;110651.0;0.9601728725476953
CUP;5;1;ARX;SSE;LOCAL_GENERALIZATION;1232.0;0.9990681950609288
CUP;5;1;ARX;LOSS;LOCAL_GENERALIZATION;1232.0;0.9991309286194925
CUP;5;2;ARX;SSE;LOCAL_GENERALIZATION;1669.0;0.9928950843662565
CUP;5;2;ARX;LOSS;LOCAL_GENERALIZATION;1669.0;0.9951393603459822
CUP;5;3;ARX;LOSS;LOCAL_GENERALIZATION;1934.0;0.9923778327400983
CUP;5;3;ARX;SSE;LOCAL_GENERALIZATION;1934.0;0.991114574210586
CUP;5;4;ARX;LOSS;LOCAL_GENERALIZATION;2808.0;0.9830875177165215
CUP;5;4;ARX;SSE;LOCAL_GENERALIZATION;2808.0;0.9751429749459944
CUP;5;5;ARX;LOSS;LOCAL_GENERALIZATION;3915.0;0.980608407174126
CUP;5;5;ARX;SSE;LOCAL_GENERALIZATION;3915.0;0.9693594986373486
CUP;5;6;ARX;LOSS;LOCAL_GENERALIZATION;7176.0;0.9773146782959079
CUP;5;6;ARX;SSE;LOCAL_GENERALIZATION;7176.0;0.9652811504813721
