;;;;;;Time;Utility
Dataset;k;QIs;Algorithm;Quality;Transformation;Value;Value
ADULT;3;9;MONDRIAN;SSE;MULTI_DIMENSIONAL_GENERALIZATION;2575030.0;0.8027619409032639
ADULT;3;9;MONDRIAN;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;2575030.0;0.8819444572543205
ADULT;5;9;MONDRIAN;SSE;MULTI_DIMENSIONAL_GENERALIZATION;1648538.0;0.7876477136696575
ADULT;5;9;MONDRIAN;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;1648538.0;0.8658223624210601
ADULT;10;9;MONDRIAN;SSE;MULTI_DIMENSIONAL_GENERALIZATION;896372.0;0.7614416478987664
ADULT;10;9;MONDRIAN;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;896372.0;0.8385402246412668
ADULT;5;1;MONDRIAN;SSE;MULTI_DIMENSIONAL_GENERALIZATION;13379.0;1.0
ADULT;5;1;MONDRIAN;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;13379.0;1.0
ADULT;5;2;MONDRIAN;SSE;MULTI_DIMENSIONAL_GENERALIZATION;26698.0;0.9948191778410311
ADULT;5;2;MONDRIAN;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;26698.0;0.9978367954597684
ADULT;5;3;MONDRIAN;SSE;MULTI_DIMENSIONAL_GENERALIZATION;50655.0;0.9950498585803018
ADULT;5;3;MONDRIAN;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;50655.0;0.997617848397951
ADULT;5;4;MONDRIAN;SSE;MULTI_DIMENSIONAL_GENERALIZATION;119085.0;0.9368484777019107
ADULT;5;4;MONDRIAN;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;119085.0;0.9695684873221923
ADULT;5;5;MONDRIAN;SSE;MULTI_DIMENSIONAL_GENERALIZATION;345163.0;0.9135755338712803
ADULT;5;5;MONDRIAN;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;345163.0;0.9520937803441314
ADULT;5;6;MONDRIAN;SSE;MULTI_DIMENSIONAL_GENERALIZATION;506491.0;0.9131512469978316
ADULT;5;6;MONDRIAN;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;506491.0;0.9468729086171581
ADULT;5;7;MONDRIAN;SSE;MULTI_DIMENSIONAL_GENERALIZATION;734091.0;0.8150394047263125
ADULT;5;7;MONDRIAN;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;734091.0;0.9018943913997202
ADULT;5;8;MONDRIAN;SSE;MULTI_DIMENSIONAL_GENERALIZATION;1366432.0;0.804137403084373
