;;;;;;Time;Utility
Dataset;k;QIs;Algorithm;Quality;Transformation;Value;Value
ADULT;2;9;SANCHEZ;LOSS;LOCAL_GENERALIZATION;1075.0;0.8544818426838863
ADULT;2;9;SANCHEZ;SSE;LOCAL_GENERALIZATION;1075.0;0.8176296508709799
ADULT;3;9;SANCHEZ;LOSS;LOCAL_GENERALIZATION;1712.0;0.7691777489407945
ADULT;3;9;SANCHEZ;SSE;LOCAL_GENERALIZATION;1712.0;0.7473920872817308
ADULT;5;9;SANCHEZ;LOSS;LOCAL_GENERALIZATION;1101.0;0.6667737761599859
ADULT;5;9;SANCHEZ;SSE;LOCAL_GENERALIZATION;1101.0;0.6745726460349047
ADULT;10;9;SANCHEZ;LOSS;LOCAL_GENERALIZATION;1254.0;0.5446646602020107
ADULT;10;9;SANCHEZ;SSE;LOCAL_GENERALIZATION;1254.0;0.5930559029787048
ADULT;5;1;SANCHEZ;LOSS;LOCAL_GENERALIZATION;190.0;1.0
ADULT;5;1;SANCHEZ;SSE;LOCAL_GENERALIZATION;190.0;1.0
ADULT;5;2;SANCHEZ;LOSS;LOCAL_GENERALIZATION;424.0;0.9919714364350316
ADULT;5;2;SANCHEZ;SSE;LOCAL_GENERALIZATION;424.0;0.9929717310128315
ADULT;5;3;SANCHEZ;LOSS;LOCAL_GENERALIZATION;419.0;0.9755406800234592
ADULT;5;3;SANCHEZ;SSE;LOCAL_GENERALIZATION;419.0;0.9751926515038667
ADULT;5;4;SANCHEZ;LOSS;LOCAL_GENERALIZATION;587.0;0.9419779405063493
ADULT;5;4;SANCHEZ;SSE;LOCAL_GENERALIZATION;587.0;0.9371161837516806
ADULT;5;5;SANCHEZ;LOSS;LOCAL_GENERALIZATION;737.0;0.8444478946111085
ADULT;5;5;SANCHEZ;SSE;LOCAL_GENERALIZATION;737.0;0.8347143858288002
ADULT;5;6;SANCHEZ;LOSS;LOCAL_GENERALIZATION;744.0;0.8361851380525874
ADULT;5;6;SANCHEZ;SSE;LOCAL_GENERALIZATION;744.0;0.8408538706557273
ADULT;5;7;SANCHEZ;LOSS;LOCAL_GENERALIZATION;894.0;0.7918183443456206
ADULT;5;7;SANCHEZ;SSE;LOCAL_GENERALIZATION;894.0;0.7851593213615566
ADULT;5;8;SANCHEZ;LOSS;LOCAL_GENERALIZATION;987.0;0.7041378609935001
ADULT;5;8;SANCHEZ;SSE;LOCAL_GENERALIZATION;987.0;0.7037524302603236
ADULT;5;9;SANCHEZ;LOSS;LOCAL_GENERALIZATION;1061.0;0.6667737761599859
ADULT;5;9;SANCHEZ;SSE;LOCAL_GENERALIZATION;1061.0;0.6745726460349047
CUP;2;8;SANCHEZ;LOSS;LOCAL_GENERALIZATION;2788.0;0.8656405538116407
CUP;2;8;SANCHEZ;SSE;LOCAL_GENERALIZATION;2788.0;0.9600224480218009
CUP;3;8;SANCHEZ;LOSS;LOCAL_GENERALIZATION;2780.0;0.7984917032309984
CUP;3;8;SANCHEZ;SSE;LOCAL_GENERALIZATION;2780.0;0.9493553792300558
CUP;5;8;SANCHEZ;LOSS;LOCAL_GENERALIZATION;2726.0;0.7294304874429559
CUP;5;8;SANCHEZ;SSE;LOCAL_GENERALIZATION;2726.0;0.9394511397934209
CUP;10;8;SANCHEZ;LOSS;LOCAL_GENERALIZATION;2655.0;0.6631733802092132
CUP;10;8;SANCHEZ;SSE;LOCAL_GENERALIZATION;2655.0;0.9296658905587427
CUP;5;1;SANCHEZ;LOSS;LOCAL_GENERALIZATION;590.0;0.9999367675145645
CUP;5;1;SANCHEZ;SSE;LOCAL_GENERALIZATION;590.0;0.9999200377010535
CUP;5;2;SANCHEZ;LOSS;LOCAL_GENERALIZATION;926.0;0.7182774876415999
CUP;5;2;SANCHEZ;SSE;LOCAL_GENERALIZATION;926.0;0.6607578464206589
CUP;5;3;SANCHEZ;LOSS;LOCAL_GENERALIZATION;1250.0;0.7302014846895992
CUP;5;3;SANCHEZ;SSE;LOCAL_GENERALIZATION;1250.0;0.7175824776001059
CUP;5;4;SANCHEZ;LOSS;LOCAL_GENERALIZATION;1465.0;0.6090150780300803
CUP;5;4;SANCHEZ;SSE;LOCAL_GENERALIZATION;1465.0;0.6353590262349635
CUP;5;5;SANCHEZ;LOSS;LOCAL_GENERALIZATION;1673.0;0.6091358362380518
CUP;5;5;SANCHEZ;SSE;LOCAL_GENERALIZATION;1673.0;0.6196114387860846
CUP;5;6;SANCHEZ;LOSS;LOCAL_GENERALIZATION;1885.0;0.6610334495104829
CUP;5;6;SANCHEZ;SSE;LOCAL_GENERALIZATION;1885.0;0.9172630713111669
CUP;5;7;SANCHEZ;LOSS;LOCAL_GENERALIZATION;2656.0;0.696714535842289
CUP;5;7;SANCHEZ;SSE;LOCAL_GENERALIZATION;2656.0;0.9212849022764169
CUP;5;8;SANCHEZ;LOSS;LOCAL_GENERALIZATION;2926.0;0.7294304874429559
CUP;5;8;SANCHEZ;SSE;LOCAL_GENERALIZATION;2926.0;0.9394511397934209
FARS;2;8;SANCHEZ;LOSS;LOCAL_GENERALIZATION;3360.0;0.8903328418943071
FARS;2;8;SANCHEZ;SSE;LOCAL_GENERALIZATION;3360.0;0.8941059820944146
FARS;3;8;SANCHEZ;LOSS;LOCAL_GENERALIZATION;3207.0;0.8252722983132996
FARS;3;8;SANCHEZ;SSE;LOCAL_GENERALIZATION;3207.0;0.8513575143580461
FARS;5;8;SANCHEZ;LOSS;LOCAL_GENERALIZATION;3203.0;0.7460585624795859
FARS;5;8;SANCHEZ;SSE;LOCAL_GENERALIZATION;3203.0;0.8043296258191299
FARS;10;8;SANCHEZ;LOSS;LOCAL_GENERALIZATION;3164.0;0.6500927794756326
FARS;10;8;SANCHEZ;SSE;LOCAL_GENERALIZATION;3164.0;0.7507390474843493
FARS;5;1;SANCHEZ;LOSS;LOCAL_GENERALIZATION;584.0;0.9999614721173713
FARS;5;1;SANCHEZ;SSE;LOCAL_GENERALIZATION;584.0;0.9999459360554132
FARS;5;2;SANCHEZ;LOSS;LOCAL_GENERALIZATION;1000.0;0.9953573006047635
FARS;5;2;SANCHEZ;SSE;LOCAL_GENERALIZATION;1000.0;0.9965423928565104
FARS;5;3;SANCHEZ;LOSS;LOCAL_GENERALIZATION;1348.0;0.9714534571962575
FARS;5;3;SANCHEZ;SSE;LOCAL_GENERALIZATION;1348.0;0.9813828943829415
FARS;5;4;SANCHEZ;LOSS;LOCAL_GENERALIZATION;1732.0;0.8980619467628562
FARS;5;4;SANCHEZ;SSE;LOCAL_GENERALIZATION;1732.0;0.9316952968836684
FARS;5;5;SANCHEZ;LOSS;LOCAL_GENERALIZATION;2034.0;0.8797716742829487
FARS;5;5;SANCHEZ;SSE;LOCAL_GENERALIZATION;2034.0;0.9160225667038724
FARS;5;6;SANCHEZ;LOSS;LOCAL_GENERALIZATION;2345.0;0.8788338133465071
FARS;5;6;SANCHEZ;SSE;LOCAL_GENERALIZATION;2345.0;0.909349534537571
FARS;5;7;SANCHEZ;LOSS;LOCAL_GENERALIZATION;2674.0;0.7951581575225102
FARS;5;7;SANCHEZ;SSE;LOCAL_GENERALIZATION;2674.0;0.8543141900202154
FARS;5;8;SANCHEZ;LOSS;LOCAL_GENERALIZATION;3180.0;0.7460585624795859
FARS;5;8;SANCHEZ;SSE;LOCAL_GENERALIZATION;3180.0;0.8043296258191299
ATUS;2;9;SANCHEZ;LOSS;LOCAL_GENERALIZATION;24783.0;0.9540662852477323
