;;;;;;Time;Utility
Dataset;k;QIs;Algorithm;Quality;Transformation;Value;Value
ADULT;2;9;SDCMICRO;LOSS;CELL_SUPPRESSION;695172.0;0.9152539251007522
ADULT;2;9;SDCMICRO;NUENTROPY;CELL_SUPPRESSION;695172.0;0.7908178741296441
ADULT;3;9;SDCMICRO;LOSS;CELL_SUPPRESSION;832285.0;0.8870801376271836
ADULT;3;9;SDCMICRO;NUENTROPY;CELL_SUPPRESSION;832285.0;0.7266654864065349
ADULT;5;9;SDCMICRO;LOSS;CELL_SUPPRESSION;1006299.0;0.8570570769695496
ADULT;5;9;SDCMICRO;NUENTROPY;CELL_SUPPRESSION;1006299.0;0.663406787799032
ADULT;10;9;SDCMICRO;LOSS;CELL_SUPPRESSION;1264679.0;0.8196037692755417
ADULT;10;9;SDCMICRO;NUENTROPY;CELL_SUPPRESSION;1264679.0;0.5919355150091443
ADULT;5;1;SDCMICRO;NUENTROPY;CELL_SUPPRESSION;2227.0;1.0
ADULT;5;1;SDCMICRO;LOSS;CELL_SUPPRESSION;2227.0;1.0
ADULT;5;2;SDCMICRO;NUENTROPY;CELL_SUPPRESSION;2774.0;0.9997213213288256
ADULT;5;2;SDCMICRO;LOSS;CELL_SUPPRESSION;2774.0;0.99963530269876
ADULT;5;3;SDCMICRO;NUENTROPY;CELL_SUPPRESSION;3181.0;0.9885507782630102
ADULT;5;3;SDCMICRO;LOSS;CELL_SUPPRESSION;3181.0;0.995303140817364
ADULT;5;4;SDCMICRO;NUENTROPY;CELL_SUPPRESSION;7930.0;0.9606099003117714
ADULT;5;4;SDCMICRO;LOSS;CELL_SUPPRESSION;7930.0;0.9846329818977522
ADULT;5;5;SDCMICRO;LOSS;CELL_SUPPRESSION;61947.0;0.9457529341555599
ADULT;5;5;SDCMICRO;NUENTROPY;CELL_SUPPRESSION;61947.0;0.8729259758382715
ADULT;5;6;SDCMICRO;LOSS;CELL_SUPPRESSION;120696.0;0.9345202572773689
ADULT;5;6;SDCMICRO;NUENTROPY;CELL_SUPPRESSION;120696.0;0.8329666617410504
ADULT;5;7;SDCMICRO;LOSS;CELL_SUPPRESSION;272626.0;0.9125010656739322
ADULT;5;7;SDCMICRO;NUENTROPY;CELL_SUPPRESSION;272626.0;0.7725176707962033
ADULT;5;8;SDCMICRO;LOSS;CELL_SUPPRESSION;780660.0;0.856288541873881
ADULT;5;8;SDCMICRO;NUENTROPY;CELL_SUPPRESSION;780660.0;0.6785517890693025
