;;;;;;Time;Utility
Dataset;k;QIs;Iterations;Round;QualityModel;Value;Value
ADULT;5;5;200;0;SSE;2800.0;0.0
ADULT;5;5;200;0;LOSS;2800.0;0.221868576354324
CUP;5;5;200;0;SSE;15586.0;0.0
CUP;5;5;200;0;LOSS;15586.0;0.0
FARS;5;5;200;0;SSE;8867.0;0.0
FARS;5;5;200;0;LOSS;8867.0;0.3057550749477165
ATUS;5;5;200;0;SSE;17268.0;0.5264788831795628
ATUS;5;5;200;0;LOSS;17268.0;0.7901856827863198
IHIS;5;5;200;0;SSE;114614.0;0.0
IHIS;5;5;200;0;LOSS;114614.0;0.19732568973324438
SS13ACS;5;5;200;0;SSE;276840.0;0.0
SS13ACS;5;5;200;0;LOSS;276840.0;0.0019934521644223713
